Title(BHK),location,Carpet Area(sqft),Floor No.,Total Floors,Transaction,Furnishing,facing,overlooking,Bathroom,Balcony,Parking Spaces,Parking Type
3,faridabad,2000,4,4,Resale,Semi-Furnished,West,Main Road,3,2,2,"Covered,"
2,new-delhi,495,1,4,New Property,Furnished,East,"Garden/Park, Main Road",2,1,1,Covered
4,sonipat,2600,6,10,Resale,Furnished,North - East,Garden/Park,5,2,1,"Covered,"
2,bangalore,1000,7,32,Resale,Unfurnished,East,Garden/Park,2,1,1,Covered
3,new-delhi,900,3,4,Resale,Semi-Furnished,North - West,Garden/Park,2,2,1,Covered
2,new-delhi,400,2,3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",1,1,1,Open
3,gurgaon,1296,2,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",3,2,2,Covered
3,faridabad,645,7,14,Resale,Semi-Furnished,East,Main Road,2,2,1,Open
3,gurgaon,1296,2,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",3,2,2,Covered
3,gurgaon,1470,4,4,New Property,Semi-Furnished,North - East,Garden/Park,3,3,1,Covered
1,kalyan,430,0,3,Resale,Semi-Furnished,East,Garden/Park,1,1,1,Open
3,gurgaon,1380,3,4,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,2,2,"Covered,"
3,pune,1167,8,17,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",3,2,1,Covered
3,bangalore,900,10,14,Resale,Unfurnished,East,"Garden/Park, Main Road",2,2,1,Covered
4,new-delhi,2027,2,4,New Property,Semi-Furnished,East,Garden/Park,4,2,2,"Covered,"
2,ahmedabad,875,2,10,Resale,Furnished,East,Main Road,2,2,1,Open
3,faridabad,1288,10,15,Resale,Unfurnished,West,Main Road,2,4,2,Covered
3,ahmedabad,1044,5,13,Resale,Unfurnished,East,"Garden/Park, Main Road",3,3,1,Open
3,gurgaon,1296,2,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",3,2,2,Covered
2,kolkata,745,1,3,Resale,Furnished,North - East,Main Road,2,1,1,Covered
5,gurgaon,2500,4,21,Resale,Semi-Furnished,North,"Garden/Park, Main Road",5,3,3,Covered
4,new-delhi,2100,8,10,Resale,Unfurnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,hyderabad,1323,1,10,New Property,Unfurnished,East,"Garden/Park, Main Road",3,1,2,"Covered,"
3,bangalore,1000,10,10,Resale,Furnished,South -West,"Garden/Park, Pool, Main Road",3,2,2,Covered
2,bangalore,1330,24,30,Resale,Unfurnished,East,Garden/Park,2,1,1,Covered
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,jaipur,1450,4,6,New Property,Semi-Furnished,North,Main Road,3,3,1,Covered
4,new-delhi,2100,8,10,Resale,Unfurnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,chennai,1068,3,5,New Property,Unfurnished,North,Garden/Park,3,1,1,Covered
3,chennai,1831,18,19,Resale,Unfurnished,North,"Pool, Main Road",3,3,1,Open
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,new-delhi,1760,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",4,3,1,"Covered,"
4,new-delhi,2027,2,4,New Property,Semi-Furnished,East,Garden/Park,4,2,2,"Covered,"
3,gurgaon,1470,4,4,New Property,Semi-Furnished,North - East,Garden/Park,3,3,1,Covered
2,chennai,750,3,3,New Property,Unfurnished,North,Main Road,3,0,1,Covered
4,gurgaon,2358,1,4,New Property,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",4,2,2,"Covered,"
3,faridabad,800,1,4,New Property,Semi-Furnished,East,Main Road,2,2,1,Covered
3,greater-noida,761,12,24,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",2,4,1,Covered
2,chennai,630,1,19,New Property,Unfurnished,West,"Pool, Main Road",2,1,1,Covered
4,gurgaon,1500,2,3,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,4,2,Open
2,new-delhi,495,1,4,New Property,Furnished,East,"Garden/Park, Main Road",2,1,1,Covered
3,new-delhi,1400,4,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,4,1,"Covered,"
3,kolkata,1450,18,28,Resale,Furnished,North - East,Garden/Park,3,2,1,Covered
5,chennai,2800,14,19,Resale,Semi-Furnished,East,Main Road,5,2,2,Covered
3,ahmedabad,1123,1,12,Resale,Unfurnished,East,"Pool, Garden/Park, Main Road",3,2,1,Open
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,new-delhi,900,3,4,Resale,Semi-Furnished,North - West,Garden/Park,2,2,1,Covered
3,new-delhi,1760,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",4,3,1,"Covered,"
3,kolkata,2550,2,4,Resale,Semi-Furnished,East,Garden/Park,3,2,2,Covered
4,gurgaon,1500,2,3,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,4,2,Open
2,chennai,800,2,3,New Property,Unfurnished,North,Main Road,2,1,1,Covered
3,jaipur,1650,2,6,New Property,Semi-Furnished,West,Main Road,3,3,1,Covered
3,hyderabad,1830,16,26,New Property,Unfurnished,East,"Main Road, Garden/Park",3,1,2,Covered
3,zirakpur,1400,1,3,New Property,Semi-Furnished,North - East,Main Road,3,2,1,Covered
3,gurgaon,1296,2,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",3,2,2,Covered
4,new-delhi,1900,3,4,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",5,2,2,"Covered,"
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,gurgaon,1550,5,20,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,2,1,"Covered,"
4,faridabad,1975,8,12,Resale,Furnished,South -West,"Garden/Park, Main Road",4,2,1,"Covered,"
3,chennai,1831,18,19,Resale,Unfurnished,North,"Pool, Main Road",3,3,1,Open
1,navi-mumbai,400,9,25,Resale,Semi-Furnished,East,Garden/Park,1,0,1,Covered
4,chennai,1450,4,4,New Property,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,2,1,"Covered,"
3,hyderabad,1323,1,10,New Property,Unfurnished,East,"Garden/Park, Main Road",3,1,2,"Covered,"
2,hyderabad,956,5,5,Resale,Furnished,East,Garden/Park,2,1,1,Covered
3,visakhapatnam,1350,5,5,New Property,Unfurnished,West,"Garden/Park, Pool, Main Road",2,2,1,Covered
3,gurgaon,1300,5,13,New Property,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,3,1,"Covered,"
3,vadodara,1300,1,4,Resale,Semi-Furnished,East,Garden/Park,3,0,1,Covered
3,faridabad,1600,1,4,New Property,Semi-Furnished,North,Garden/Park,3,2,1,Covered
3,new-delhi,1400,4,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,4,1,"Covered,"
3,new-delhi,1600,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,3,1,"Covered,"
4,ahmedabad,2200,3,7,New Property,Unfurnished,East,Garden/Park,4,1,3,Covered
3,gurgaon,1300,5,13,New Property,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,3,1,"Covered,"
3,kolkata,2550,2,4,Resale,Semi-Furnished,East,Garden/Park,3,2,2,Covered
3,gurgaon,1799,11,20,Resale,Semi-Furnished,North - East,"Garden/Park, Pool",4,3,1,Covered
4,gurgaon,2358,1,4,New Property,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",4,2,2,"Covered,"
2,chennai,800,2,3,New Property,Unfurnished,North,Main Road,2,1,1,Covered
4,ahmedabad,2623,7,13,New Property,Unfurnished,East,"Main Road, Garden/Park, Pool",4,1,2,Covered
3,chennai,1060,8,11,New Property,Semi-Furnished,North,"Garden/Park, Pool, Main Road",3,2,1,Covered
2,chennai,908,2,2,Resale,Semi-Furnished,South,Garden/Park,2,2,1,Covered
4,gurgaon,2358,1,4,New Property,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",4,2,2,"Covered,"
2,thane,650,5,11,Resale,Semi-Furnished,East,Garden/Park,2,0,1,Open
2,jaipur,680,3,9,New Property,Semi-Furnished,East,"Garden/Park, Main Road",2,2,1,"Covered,"
3,ghaziabad,1256,7,26,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",4,2,2,"Covered,"
3,zirakpur,1200,3,4,New Property,Semi-Furnished,North - East,Garden/Park,3,2,1,"Covered,"
2,new-delhi,850,1,4,Resale,Semi-Furnished,East,Main Road,2,2,2,Open
3,new-delhi,1600,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,3,1,"Covered,"
4,new-delhi,2250,3,4,Resale,Semi-Furnished,North,Garden/Park,4,2,2,"Covered,"
4,new-delhi,2100,8,10,Resale,Unfurnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
4,gurgaon,4583,9,30,New Property,Unfurnished,North - East,Garden/Park,5,4,2,Covered
4,gurgaon,1700,2,2,Resale,Semi-Furnished,East,"Garden/Park, Main Road",4,4,1,Open
2,bangalore,1000,7,32,Resale,Unfurnished,East,Garden/Park,2,1,1,Covered
4,gurgaon,1800,6,14,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",4,2,1,"Covered,"
2,new-delhi,400,2,3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",1,1,1,Open
3,vadodara,1100,2,5,Resale,Furnished,North - East,"Garden/Park, Main Road",3,2,1,Covered
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
2,hyderabad,233,2,5,New Property,Unfurnished,West,Main Road,2,2,1,Covered
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,"
2,kolkata,800,1,3,Resale,Unfurnished,South - East,"Garden/Park, Main Road",2,1,1,Covered
2,bhiwadi,900,2,2,Resale,Semi-Furnished,East,"Pool, Garden/Park, Main Road",2,2,1,Open
3,thane,1153,28,32,New Property,Unfurnished,East,"Garden/Park, Main Road",3,3,1,Covered
2,faridabad,1100,9,17,Resale,Unfurnished,East,Main Road,2,2,1,Open
4,gurgaon,1500,2,3,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,4,2,Open
2,kolkata,745,1,3,Resale,Furnished,North - East,Main Road,2,1,1,Covered
2,bangalore,805,9,15,Resale,Unfurnished,North,Garden/Park,2,1,1,Covered
2,thane,760,11,18,Resale,Semi-Furnished,East,Main Road,2,0,1,Open
3,new-delhi,1400,4,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,4,1,"Covered,"
3,new-delhi,1350,3,10,Resale,Semi-Furnished,East,"Garden/Park, Main Road",2,3,1,"Covered,"
2,surat,950,6,15,Resale,Unfurnished,South -West,"Garden/Park, Pool, Main Road",2,2,2,Covered
3,surat,980,5,13,Resale,Unfurnished,East,"Garden/Park, Main Road",3,1,2,Covered
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,"
3,new-delhi,1760,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",4,3,1,"Covered,"
4,gurgaon,4583,9,30,New Property,Unfurnished,North - East,Garden/Park,5,4,2,Covered
3,new-delhi,1350,3,10,Resale,Semi-Furnished,East,"Garden/Park, Main Road",2,3,1,"Covered,"
2,bangalore,1000,7,32,Resale,Unfurnished,East,Garden/Park,2,1,1,Covered
3,chennai,1831,18,19,Resale,Unfurnished,North,"Pool, Main Road",3,3,1,Open
2,new-delhi,400,2,3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",1,1,1,Open
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,gurgaon,1600,3,10,New Property,Semi-Furnished,East,"Garden/Park, Main Road",4,2,1,"Covered,"
3,new-delhi,1800,1,4,Resale,Semi-Furnished,East,Garden/Park,4,4,2,Covered
3,new-delhi,900,3,4,Resale,Semi-Furnished,North - West,Garden/Park,2,2,1,Covered
3,new-delhi,1400,4,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,4,1,"Covered,"
3,new-delhi,1350,3,10,Resale,Semi-Furnished,East,"Garden/Park, Main Road",2,3,1,"Covered,"
5,gurgaon,3000,1,4,Resale,Semi-Furnished,North - West,"Garden/Park, Main Road",4,4,3,Covered
3,new-delhi,1400,4,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,4,1,"Covered,"
2,greater-noida,580,6,25,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",2,3,1,"Covered,"
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,new-delhi,1300,5,7,Resale,Semi-Furnished,East,Garden/Park,2,2,1,"Covered,"
2,kolkata,875,4,6,Resale,Unfurnished,South - East,Garden/Park,2,1,1,Open
2,pune,737,10,14,Resale,Semi-Furnished,East,"Garden/Park, Pool",2,3,1,Open
2,hyderabad,233,2,5,New Property,Unfurnished,West,Main Road,2,2,1,Covered
3,faridabad,1850,1,4,New Property,Semi-Furnished,East,Main Road,3,2,1,"Covered,"
3,gurgaon,1600,3,10,New Property,Semi-Furnished,East,"Garden/Park, Main Road",4,2,1,"Covered,"
3,pune,1150,8,16,New Property,Unfurnished,East,Main Road,3,2,1,Covered
2,new-delhi,495,1,4,New Property,Furnished,East,"Garden/Park, Main Road",2,1,1,Covered
2,new-delhi,400,2,3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",1,1,1,Open
4,ahmedabad,1918,3,14,Resale,Unfurnished,East,Garden/Park,4,1,2,Covered
3,chandigarh,1500,4,4,Resale,Unfurnished,East,"Garden/Park, Main Road",3,3,1,Covered
3,greater-noida,1600,3,4,Resale,Furnished,North - East,"Garden/Park, Main Road",2,3,1,Open
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,"
3,new-delhi,1300,5,7,Resale,Semi-Furnished,East,Garden/Park,2,2,1,"Covered,"
4,gurgaon,1875,4,8,Resale,Furnished,South - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,nagpur,1000,3,4,Resale,Unfurnished,East,Garden/Park,3,1,1,Covered
3,ernakulam,1100,3,7,Resale,Semi-Furnished,East,Main Road,3,1,1,Covered
3,gurgaon,1701,17,27,New Property,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,3,2,"Covered,"
3,hyderabad,1323,1,10,New Property,Unfurnished,East,"Garden/Park, Main Road",3,1,2,"Covered,"
3,hyderabad,1323,1,10,New Property,Unfurnished,East,"Garden/Park, Main Road",3,1,2,"Covered,"
2,thane,850,14,29,Resale,Semi-Furnished,East,"Garden/Park, Main Road",2,2,1,Covered
4,new-delhi,2027,2,4,New Property,Semi-Furnished,East,Garden/Park,4,2,2,"Covered,"
3,faridabad,1220,1,4,Resale,Semi-Furnished,North,"Garden/Park, Pool, Main Road",2,2,1,"Covered,"
2,chennai,908,2,2,Resale,Semi-Furnished,South,Garden/Park,2,2,1,Covered
2,pune,882,3,7,Resale,Furnished,East,Main Road,2,1,1,Covered
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,"
3,gurgaon,1296,2,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",3,2,2,Covered
3,gurgaon,1600,3,10,New Property,Semi-Furnished,East,"Garden/Park, Main Road",4,2,1,"Covered,"
2,bangalore,805,9,15,Resale,Unfurnished,North,Garden/Park,2,1,1,Covered
3,greater-noida,1400,3,3,New Property,Unfurnished,North - East,"Garden/Park, Main Road",3,3,1,Covered
4,gurgaon,2358,1,4,New Property,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",4,2,2,"Covered,"
3,gurgaon,1300,5,13,New Property,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,3,1,"Covered,"
3,chennai,1831,18,19,Resale,Unfurnished,North,"Pool, Main Road",3,3,1,Open
3,chandigarh,1210,3,10,New Property,Unfurnished,North - West,"Garden/Park, Pool, Main Road",3,3,1,Covered
2,bangalore,805,9,15,Resale,Unfurnished,North,Garden/Park,2,1,1,Covered
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,jaipur,1086,3,6,New Property,Semi-Furnished,East,Main Road,3,2,1,Covered
3,gurgaon,1701,17,27,New Property,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,3,2,"Covered,"
3,bangalore,900,10,14,Resale,Unfurnished,East,"Garden/Park, Main Road",2,2,1,Covered
3,chennai,1831,18,19,Resale,Unfurnished,North,"Pool, Main Road",3,3,1,Open
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,"
4,gurgaon,2100,3,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",4,3,1,Covered
3,kochi,1134,6,18,Resale,Unfurnished,North - West,Garden/Park,3,1,1,Covered
3,bangalore,900,10,14,Resale,Unfurnished,East,"Garden/Park, Main Road",2,2,1,Covered
3,new-delhi,1500,4,8,Resale,Furnished,East,"Garden/Park, Main Road",3,3,2,Open
3,mohali,1150,2,11,New Property,Semi-Furnished,North - East,Garden/Park,4,3,1,"Covered,"
2,bangalore,805,9,15,Resale,Unfurnished,North,Garden/Park,2,1,1,Covered
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
0,lucknow,315,1,1,Resale,Unfurnished,North,Main Road,1,1,1,Covered
3,gurgaon,1550,5,20,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,2,1,"Covered,"
4,gurgaon,2700,15,18,Resale,Unfurnished,East,"Garden/Park, Pool",5,2,2,Covered
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,"
3,new-delhi,1500,4,8,Resale,Furnished,East,"Garden/Park, Main Road",3,3,2,Open
4,ahmedabad,1707,6,14,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",4,1,2,Covered
3,kolkata,1450,18,28,Resale,Furnished,North - East,Garden/Park,3,2,1,Covered
4,ahmedabad,1707,6,14,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",4,1,2,Covered
3,guwahati,750,3,7,New Property,Unfurnished,East,Garden/Park,2,2,1,Covered
2,hyderabad,956,5,5,Resale,Furnished,East,Garden/Park,2,1,1,Covered
2,surat,660,4,10,Resale,Unfurnished,North - East,"Garden/Park, Main Road",2,1,1,Covered
3,bhiwadi,1600,1,10,Resale,Semi-Furnished,West,"Garden/Park, Pool, Main Road",3,3,1,Covered
4,hyderabad,3600,3,4,New Property,Semi-Furnished,North,Garden/Park,4,1,2,Covered
2,new-delhi,400,2,3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",1,1,1,Open
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,new-delhi,1760,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",4,3,1,"Covered,"
3,mumbai,915,6,25,New Property,Unfurnished,North - West,"Garden/Park, Main Road",3,0,1,Covered
2,ranchi,1000,2,4,Resale,Semi-Furnished,North - East,Main Road,2,2,1,Covered
3,gurgaon,1550,5,20,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,2,1,"Covered,"
3,gurgaon,1350,9,19,Resale,Semi-Furnished,South,Main Road,2,4,1,Covered
2,bangalore,805,9,15,Resale,Unfurnished,North,Garden/Park,2,1,1,Covered
3,kolkata,1450,18,28,Resale,Furnished,North - East,Garden/Park,3,2,1,Covered
3,new-delhi,1300,5,7,Resale,Semi-Furnished,East,Garden/Park,2,2,1,"Covered,"
4,gurgaon,1800,6,14,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",4,2,1,"Covered,"
4,gurgaon,1500,2,3,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,4,2,Open
4,gurgaon,2358,1,4,New Property,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",4,2,2,"Covered,"
2,jaipur,732,3,6,New Property,Semi-Furnished,East,"Garden/Park, Main Road",2,1,1,Covered
3,new-delhi,1500,4,8,Resale,Furnished,East,"Garden/Park, Main Road",3,3,2,Open
3,bangalore,900,10,14,Resale,Unfurnished,East,"Garden/Park, Main Road",2,2,1,Covered
3,gurgaon,1701,17,27,New Property,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,3,2,"Covered,"
3,new-delhi,1600,7,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,gurgaon,1296,2,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",3,2,2,Covered
2,mangalore,915,3,3,Resale,Unfurnished,North - East,Main Road,2,0,1,Covered
3,gurgaon,1296,2,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",3,2,2,Covered
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,"
2,hyderabad,233,2,5,New Property,Unfurnished,West,Main Road,2,2,1,Covered
4,bangalore,2200,11,18,Resale,Unfurnished,East,Garden/Park,3,3,2,Covered
1,thane,500,2,24,New Property,Unfurnished,East,"Garden/Park, Main Road",2,1,1,Open
4,hyderabad,3600,3,4,New Property,Semi-Furnished,North,Garden/Park,4,1,2,Covered
3,gurgaon,1600,3,10,New Property,Semi-Furnished,East,"Garden/Park, Main Road",4,2,1,"Covered,"
3,new-delhi,1600,7,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
2,noida,534,21,32,Resale,Unfurnished,North - East,Garden/Park,2,2,1,Open
3,chandigarh,1300,5,12,New Property,Semi-Furnished,East,Garden/Park,4,4,1,"Covered,"
2,greater-noida,850,2,4,New Property,Semi-Furnished,East,Main Road,2,2,1,Covered
4,gurgaon,1700,2,2,Resale,Semi-Furnished,East,"Garden/Park, Main Road",4,4,1,Open
2,lucknow,730,6,9,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",2,3,1,Open
3,gurgaon,1470,4,4,New Property,Semi-Furnished,North - East,Garden/Park,3,3,1,Covered
3,new-delhi,720,1,4,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",2,2,1,"Covered,"
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
2,jaipur,800,2,2,New Property,Semi-Furnished,East,Main Road,2,2,1,Covered
2,new-delhi,850,1,4,Resale,Semi-Furnished,East,Main Road,2,2,2,Open
2,ahmedabad,900,2,5,Resale,Semi-Furnished,East,Main Road,2,1,1,Covered
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
1,mumbai,378,10,23,New Property,Semi-Furnished,East,"Garden/Park, Pool, Main Road",2,0,1,Covered
2,jaipur,732,3,6,New Property,Semi-Furnished,East,"Garden/Park, Main Road",2,1,1,Covered
3,new-delhi,1300,5,7,Resale,Semi-Furnished,East,Garden/Park,2,2,1,"Covered,"
2,jaipur,732,3,6,New Property,Semi-Furnished,East,"Garden/Park, Main Road",2,1,1,Covered
